OrderId,Reason
CA-2014-130631,Customer Dissatified With Product
US-2014-118087,Customer Dissatified With Product
CA-2013-126732,Customer Dissatified With Product
US-2013-144057,Customer Dissatified With Product
CA-2013-168921,Customer Dissatified With Product
CA-2013-109806,Customer Dissatified With Product
CA-2011-104829,Customer Dissatified With Product
CA-2013-147375,Customer Dissatified With Product
CA-2011-134726,Customer Dissatified With Product
CA-2014-117513,Customer Dissatified With Product
US-2011-138758,Customer Dissatified With Product
CA-2011-126522,Customer Dissatified With Product
CA-2014-115994,Customer Dissatified With Product
CA-2013-138282,Customer Dissatified With Product
CA-2014-161459,Customer Dissatified With Product
CA-2013-136483,Customer Dissatified With Product
CA-2013-116547,Customer Dissatified With Product
CA-2012-130785,Customer Dissatified With Product
CA-2014-165008,Customer Dissatified With Product
US-2012-137008,Customer Dissatified With Product
CA-2014-169894,Customer Dissatified With Product
CA-2011-105270,Customer Dissatified With Product
CA-2013-165330,Customer Dissatified With Product
CA-2011-111871,Customer Dissatified With Product
CA-2012-157812,Customer Dissatified With Product
CA-2013-145982,Customer Dissatified With Product
CA-2014-166142,Customer Dissatified With Product
CA-2011-127131,Customer Dissatified With Product
CA-2014-143084,Customer Dissatified With Product
CA-2012-151547,Customer Dissatified With Product
CA-2012-138674,Customer Dissatified With Product
CA-2011-169019,Customer Dissatified With Product
CA-2011-100762,Product Description Inaccurate
US-2011-164406,Product Description Inaccurate
CA-2013-118500,Product Description Inaccurate
CA-2012-143490,Product Description Inaccurate
CA-2014-115427,Product Description Inaccurate
CA-2012-124058,Product Description Inaccurate
CA-2014-132346,Product Description Inaccurate
CA-2013-150077,Product Description Inaccurate
CA-2014-124401,Product Description Inaccurate
CA-2014-137414,Product Description Inaccurate
CA-2014-142867,Product Description Inaccurate
CA-2014-157196,Product Description Inaccurate
CA-2012-149342,Product Description Inaccurate
CA-2013-112123,Product Description Inaccurate
US-2014-147998,Product Description Inaccurate
CA-2012-103716,Product Description Inaccurate
CA-2012-144267,Product Description Inaccurate
CA-2013-109869,Product Description Inaccurate
CA-2014-166898,Product Description Inaccurate
CA-2014-169327,Product Description Inaccurate
CA-2014-169859,Product Description Inaccurate
CA-2014-137085,Product Description Inaccurate
CA-2014-154074,Product Description Inaccurate
CA-2013-130477,Product Description Inaccurate
CA-2013-134775,Product Description Inaccurate
US-2014-105046,Product Description Inaccurate
CA-2013-136924,Product Description Inaccurate
CA-2014-166093,Product Description Inaccurate
CA-2013-106950,Product Description Inaccurate
CA-2014-145128,Product Description Inaccurate
US-2013-114293,Product Description Inaccurate
CA-2014-137099,Product Description Inaccurate
CA-2013-133319,Product Description Inaccurate
CA-2011-103744,Product Description Inaccurate
CA-2012-161627,Product Description Inaccurate
CA-2012-142601,Product Description Inaccurate
CA-2012-112144,Product Description Inaccurate
CA-2011-164861,Product Description Inaccurate
US-2012-128090,Product Description Inaccurate
CA-2011-108609,Product Description Inaccurate
CA-2014-147452,Product Description Inaccurate
CA-2012-123568,Product Description Inaccurate
CA-2014-102519,Product Description Inaccurate
CA-2014-121853,Product Description Inaccurate
CA-2012-132374,Product Description Inaccurate
US-2011-150574,Product Description Inaccurate
CA-2011-148614,Product Description Inaccurate
CA-2014-165491,Product Description Inaccurate
CA-2013-133802,Product Description Inaccurate
CA-2014-112865,Product Description Inaccurate
CA-2013-130680,Product Description Inaccurate
CA-2012-114048,Product Description Inaccurate
CA-2014-108931,Product Description Inaccurate
CA-2014-136308,Product Description Inaccurate
CA-2013-126529,Product Description Inaccurate
CA-2011-135699,Product Description Inaccurate
CA-2012-146255,Product Description Inaccurate
CA-2014-140053,Product Description Inaccurate
CA-2011-143336,Product Description Inaccurate
CA-2014-159954,Product Description Inaccurate
CA-2013-105291,Product Description Inaccurate
CA-2014-158729,Product Description Inaccurate
CA-2014-101273,Product Description Inaccurate
CA-2014-123085,Product Description Inaccurate
CA-2014-131828,Product Description Inaccurate
CA-2014-113670,Product Description Inaccurate
CA-2012-135580,Product Description Inaccurate
US-2013-157490,Product Description Inaccurate
CA-2014-142888,Product Description Inaccurate
CA-2011-153150,Product Description Inaccurate
US-2013-152051,Product Description Inaccurate
CA-2011-103940,Product Description Inaccurate
CA-2013-159345,Product Description Inaccurate
CA-2014-162012,Product Description Inaccurate
CA-2012-148873,Product Description Inaccurate
CA-2014-167395,Product Description Inaccurate
US-2013-127425,Product Description Inaccurate
CA-2014-142342,Product Description Inaccurate
CA-2013-159212,Product Description Inaccurate
CA-2013-116736,Product Description Inaccurate
CA-2013-128671,Product Description Inaccurate
CA-2014-112753,Product Description Inaccurate
US-2013-148957,Product Description Inaccurate
CA-2012-110814,Product Description Inaccurate
CA-2011-164721,Product Description Inaccurate
US-2012-136987,Product Description Inaccurate
CA-2013-151372,Product Description Inaccurate
US-2014-151127,Product Description Inaccurate
US-2012-110569,Product Description Inaccurate
CA-2012-153220,Product Description Inaccurate
CA-2014-117212,Product Description Inaccurate
CA-2014-101574,Product Description Inaccurate
CA-2013-151323,Product Description Inaccurate
CA-2011-166744,Product Description Inaccurate
US-2013-119046,Product Description Inaccurate
CA-2012-105158,Product Description Inaccurate
CA-2014-103380,Product Description Inaccurate
CA-2013-161746,Product Description Inaccurate
CA-2012-111948,Product Description Inaccurate
CA-2014-138163,Product Description Inaccurate
CA-2012-134201,Product Description Inaccurate
US-2012-126214,Product Description Inaccurate
CA-2011-140816,Product Description Inaccurate
CA-2011-133690,Product Description Inaccurate
CA-2013-120873,Product Description Inaccurate
US-2014-103247,Product Description Inaccurate
CA-2014-155712,Product Description Inaccurate
US-2013-108455,Product Description Inaccurate
CA-2013-104689,Product Description Inaccurate
CA-2014-152660,Product Description Inaccurate
US-2012-136749,Product Description Inaccurate
CA-2012-143602,Product Description Inaccurate
CA-2013-134803,Product Description Inaccurate
CA-2013-139269,Product Description Inaccurate
CA-2011-123253,Product Description Inaccurate
CA-2013-162159,Product Description Inaccurate
US-2013-135720,Product Description Inaccurate
CA-2011-159338,Product Description Inaccurate
US-2014-136679,Product Description Inaccurate
CA-2012-113628,Product Description Inaccurate
CA-2014-107825,Product Description Inaccurate
CA-2011-160766,Product Description Inaccurate
CA-2013-118311,Product Description Inaccurate
CA-2012-130456,Product Description Inaccurate
CA-2011-148950,Product Description Inaccurate
CA-2012-119214,Product Description Inaccurate
CA-2012-119907,Product Description Inaccurate
CA-2014-137428,Product Description Inaccurate
CA-2011-108861,Product Description Inaccurate
CA-2013-130638,Product Description Inaccurate
CA-2012-143238,Product Description Inaccurate
CA-2012-109736,Product Description Inaccurate
CA-2011-124688,Product Description Inaccurate
CA-2013-133368,Product Description Inaccurate
CA-2014-168193,Product Description Inaccurate
CA-2011-135657,Product Description Inaccurate
CA-2013-105081,Product Arrived After Promised Delivery Date
CA-2014-154214,Product Arrived After Promised Delivery Date
CA-2012-107678,Product Arrived After Promised Delivery Date
CA-2014-144064,Product Arrived After Promised Delivery Date
CA-2014-101700,Product Arrived After Promised Delivery Date
CA-2013-113341,Product Arrived After Promised Delivery Date
CA-2012-139731,Product Arrived After Promised Delivery Date
CA-2012-132941,Product Arrived After Promised Delivery Date
CA-2012-146262,Product Arrived After Promised Delivery Date
CA-2013-115917,Product Arrived After Promised Delivery Date
US-2013-111528,Product Arrived After Promised Delivery Date
CA-2014-142328,Product Arrived After Promised Delivery Date
CA-2012-141593,Product Arrived After Promised Delivery Date
CA-2014-121258,Product Arrived After Promised Delivery Date
CA-2011-141726,Product Arrived After Promised Delivery Date
CA-2014-167003,Product Arrived After Promised Delivery Date
US-2012-160857,Product Arrived After Promised Delivery Date
CA-2013-145261,Product Arrived After Promised Delivery Date
CA-2014-112725,Product Arrived After Promised Delivery Date
CA-2013-145919,Product Arrived After Promised Delivery Date
CA-2014-140151,Product Arrived After Promised Delivery Date
CA-2012-164882,Product Arrived After Promised Delivery Date
CA-2014-123491,Product Arrived After Promised Delivery Date
CA-2011-127012,Product Arrived After Promised Delivery Date
CA-2013-123526,Product Arrived After Promised Delivery Date
CA-2014-161557,Product Arrived After Promised Delivery Date
CA-2012-150875,Product Arrived After Promised Delivery Date
CA-2012-150770,Product Arrived After Promised Delivery Date
US-2011-140452,Product Arrived After Promised Delivery Date
CA-2012-149650,Product Arrived After Promised Delivery Date
CA-2011-100867,Product Arrived After Promised Delivery Date
CA-2014-140186,Product Arrived After Promised Delivery Date
CA-2014-156391,Incorrect Products Delivered
CA-2012-157770,Incorrect Products Delivered
CA-2014-140963,Incorrect Products Delivered
CA-2014-154949,Incorrect Products Delivered
CA-2013-166275,Incorrect Products Delivered
US-2011-143287,Incorrect Products Delivered
CA-2011-151162,Incorrect Products Delivered
US-2014-103828,Incorrect Products Delivered
CA-2011-143840,Incorrect Products Delivered
CA-2011-160773,Incorrect Products Delivered
CA-2014-111556,Incorrect Products Delivered
CA-2014-140585,Incorrect Products Delivered
CA-2011-103373,Incorrect Products Delivered
CA-2013-159023,Incorrect Products Delivered
CA-2013-145492,Incorrect Products Delivered
CA-2014-118122,Incorrect Products Delivered
CA-2011-116785,Incorrect Products Delivered
US-2011-164763,Incorrect Products Delivered
CA-2014-122504,Incorrect Products Delivered
CA-2014-150910,Incorrect Products Delivered
CA-2012-162166,Incorrect Products Delivered
US-2013-140172,Incorrect Products Delivered
CA-2012-101910,Incorrect Products Delivered
CA-2014-156958,Incorrect Products Delivered
CA-2013-105585,Incorrect Products Delivered
CA-2013-148796,Incorrect Products Delivered
CA-2012-149636,Incorrect Products Delivered
